id,short id,reltype,l1 ns,l2 ns,proptype,label ,definitions,altlabel,datatype,domain (RC),range,domainIncludes,rangeIncludes,subproperties,subPropertyOf
http://schema.org/applicationCategory,applicationCategory,R,2,1,typingsData,applicationCategory,"Type of software application, e.g. 'Game, Multimedia'.",,,SoftwareObject-Individual,anyURI,http://schema.org/SoftwareApplication,"http://schema.org/Text, http://schema.org/URL",,
http://schema.org/applicationSubCategory,applicationSubCategory,R,2,1,typingsData,applicationSubCategory,"Subcategory of the application, e.g. 'Arcade Game'.",,,SoftwareObject-Individual,anyURI,http://schema.org/SoftwareApplication,"http://schema.org/Text, http://schema.org/URL",,
http://schema.org/artMedium,artMedium,R,2,1,typingsData,artMedium,"The material used. (e.g. Oil, Watercolour, Acrylic, Linoprint, Marble, Cyanotype, Digital, Lithograph, DryPoint, Intaglio, Pastel, Woodcut, Pencil, Mixed Media, etc.)",,,VisualArtifact-CW,anyURI,http://schema.org/VisualArtwork,"http://schema.org/Text, http://schema.org/URL",,http://schema.org/material
http://schema.org/assembly,assembly,R,2,1,typingsData,assembly,"Library file name e.g., mscorlib.dll, system.web.dll.",,,ApplicationProgrammingInterface,string,http://schema.org/APIReference,http://schema.org/Text,,
http://schema.org/audienceType,audienceType,R,2,1,typingsData,audienceType,"The target group associated with a given audience (e.g. veterans, car owners, musicians, etc.).",,,Audience,string,http://schema.org/Audience,http://schema.org/Text,,
http://schema.org/award,award,R,2,1,typingsData,award,An award won by or for this item.,awards,,ConceptualWork,string,"http://schema.org/CreativeWork, http://schema.org/Organization, http://schema.org/Person, http://schema.org/Product, http://schema.org/Service",http://schema.org/Text,,
http://schema.org/awards,awards,R,2,1,typingsData,awards,Awards won by or for this item.,,,ConceptualWork,string,"http://schema.org/CreativeWork, http://schema.org/Organization, http://schema.org/Person, http://schema.org/Product",http://schema.org/Text,,
http://schema.org/colleague,colleague,R,2,1,typingsData,colleague,A colleague of the person.,colleagues,,Person,string,http://schema.org/Person,"http://schema.org/Person, http://schema.org/URL",,
http://schema.org/contactType,contactType,R,2,1,typingsData,contactType,"A person or organization can have different contact points, for different purposes. For example, a sales contact point, a PR contact point and so on. This property is used to specify the kind of contact point.",,,LocationAttributes,string,http://schema.org/ContactPoint,http://schema.org/Text,,
http://schema.org/contentType,contentType,R,2,1,typingsData,contentType,The supported content type(s) for an EntryPoint response.,,,DynamicIndexedInfoSource,string,http://schema.org/EntryPoint,http://schema.org/Text,,
http://schema.org/device,device,R,2,1,typingsData,device,Device required to run the application. Used in cases where a specific make/model is required to run the application.,,,SoftwareObject-Individual,string,http://schema.org/SoftwareApplication,http://schema.org/Text,,
